comment,label
sangat gampang untuk di pahami aplikasi ini sungguh membantu,positif
bagus untuk semua hal,positif
sangat bagus berguna,positif
"bagus, sangat membantu",positif
Aplikasi nih makin gk jelas apa lagi banyak iklan..... Trus loker nya pada gk jelas semua banyak korban....,negatif
baik bnget semoga ada jln ny buat saya kerja,positif
iklan sangat mengganggu. iklan untuk di apk okelah. tapi iklan yg membuka apk sendiri seperti lazada itu yg mengganggu,negatif
sangat bagus saya sangat suka,positif
kak plis mohon bimbingan nya dong ini saya pengen bisa apa kah nanti bimbingan nya prabayar?,netral
"Aku kira event apaan ternyata event nyari rerefral, di suruh download apk ini itu dan harus kyc, apk pembodohan ini kedok cari loker tapi event cari referral nice bro lanjutkan bakatmu",negatif
"bagus, lebih bagus lagi klo aku diterima kerja .",positif
sangat membantu dalam proses pencarian kerja,positif
apk ini sangat bagus,positif
mudah mudahan dapet pekerjan,positif
Kok aplikasi ini di kasih reating tinggi sama orang pada di dalamnya masih banyak error pas isi data diri.,negatif
aplikasi yang bagus membuat cv lebih gampang,positif
"mantap, untuk aplikasi kita lulus",positif
Terima kasih karena sudah memberikan solusi dan pekerjaan yang baik...,positif
"Terima kasih Kita Lulus, aplikasinya cukup membantu dlm saya mendapat pekerjaan. Customer servisnya juga gercep, ramah dan bikin nyaman. Kalo boleh request tolong di aktifkan fitur akun yg sudah di non-aktifkan agar saat dibutuhkan tidak perlu menggunakan email lain dan banyak membuat email baru. Terimakasih sekali lg saya puas🙏🏻",positif
Rekomended bagi yang mau cari kerja,positif
sangat membantu dan bermanfaat bagi pencari kerja 👍,positif
makasih kita lulus udah dapat pekerjaan tapi tanggapan lama sekali,positif
Banyak lowongann kerja disiniiii,positif
"apk cukup bagus mudah dipahami dalam mencari loker,moga saya dapat loker dengan mudah",positif
"gampang mencari pekerjaan,dan sangat membantu",positif
nanti saya kasih bintang lima kalo beneran bisa ngasilin uang,netral
"Mantap ini aplikasi, saya udh sering juga ngelamar banyak dapat panggilan interview dan job nya juga real time, kalau ada masalah cs nya juga gercep bantu",positif
Sampai saat ini belum ada masalah dan okelah,positif
bagusss bangett aplikasiii nyaa menghasilkan uang dan sayaaa sukaa,positif
pendaftaran cepat semoga bisa beneran lulus,positif
saya sangat terbantu dengan adanya aplikasi ini lebih mudah bagi saya mencari informasi dalam mencari pekerjaan saya akan kasih Bintang 5 stelah saya benar benar sudah dapat pekerjaan melalui aplikasi ini,positif
Aplikasi bagus sekali ya,positif
semoga dengan adanya aplikasi ini saya bisa mendapatkan pekerjaan yang layak,positif
Happy holy kids land buka lowongan pekerjaan disini loh..ayo applay di kitalulus,netral
apknya bgs bngt cocok buat cari cuan,positif
aplikasi ini sangat bagus,positif
kitalulus sangat membantu,positif
aplikasi sangat membantu mantap deh pokok nya,positif
Menarik dan sangat Membantu,positif
saya sangat senang adanya aplikasi ini bisa membantu untuk mencari peluang kerja,positif
