comment,label
sangat gampang paham aplikasi sungguh bantu,positif
bagus semua,positif
sangat bagus guna,positif
bagus sangat bantu,positif
aplikasi nih makin gk jelas apa banyak iklan trus loker nya gk jelas semua banyak korban,negatif
baik bnget moga jln ny buat kerja,positif
iklan sangat ganggu iklan apk oke iklan yg buka apk sendiri lazada yg ganggu,negatif
sangat bagus sangat suka,positif
kak plis mohon bimbing nya dong ken apa bimbing nya prabayar,netral
aku kira event apa nyata event nyari rerefral suruh download apk kyc apk bodoh kedok cari loker event cari referral nice bro lanjut bakat,negatif
bagus lebih bagus klo aku terima kerja,positif
sangat bantu proses cari kerja,positif
apk sangat bagus,positif
mudah mudah dapet pekerjan,positif
kok aplikasi kasih reating tinggi sama orang dalam banyak error pas isi data diri,negatif
aplikasi bagus buat cv lebih gampang,positif
mantap aplikasi lulus,positif
terima kasih beri solusi kerja baik,positif
terima kasih lulus aplikasi cukup bantu dlm dapat kerja customer servis gercep ramah bikin nyaman kalo request aktif fitur akun yg nonaktif butuh perlu guna email banyak buat email baru terimakasih sekali lg puas,positif
rekomended mau cari kerja,positif
sangat bantu manfaat cari kerja,positif
makasih lulus udah kerja tanggap lama sekali,positif
banyak lowongann kerja disiniiii,positif
apk cukup bagus mudah paham cari lokermoga loker mudah,positif
gampang cari pekerjaandan sangat bantu,positif
kasih bintang lima kalo beneran ngasilin uang,netral
mantap aplikasi udh sering ngelamar banyak panggil interview job nya real time kalau masalah cs nya gercep bantu,positif
masalah oke,positif
bagusss bangett aplikasiii nyaa hasil uang sayaaa sukaa,positif
daftar cepat moga beneran lulus,positif
sangat bantu ada aplikasi lebih mudah cari informasi cari kerja kasih bintang stelah benar benar kerja lalu aplikasi,positif
aplikasi bagus sekali,positif
moga ada aplikasi dapat kerja layak,positif
happy holy kids land buka lowong kerja sini lohayo applay kitalulus,netral
apknya bgs bngt cocok buat cari cuan,positif
aplikasi sangat bagus,positif
kitalulus sangat bantu,positif
aplikasi sangat bantu mantap deh pokok nya,positif
tarik sangat bantu,positif
sangat senang ada aplikasi bantu cari peluang kerja,positif
aplikasi bagus banget kalian mau kerja rumahfreelancedisini banyak tawar loker kerja kalian pilih kalian pilih posisi kalian kuasaiseperti admin akuntan banyak,positif
sangat bantu buat cari kerja buat cv langsung download apk,positif
banyak iklan nya ni aplikasi kurang rangin dah,negatif
banyak info loker mantap,positif
sangat bantu mudah,positif
aplikasi sangat sangat sangat bantu yg percaya,positif
aplikasi bagus bantu cari kerja cs nya sigap professional,positif
aplikasi bagus bgt cocok orang orang cari kerja,positif
aplikasi sangat bantu orang orang sedang cari kerja,positif
sangat bagus sih lebih mudah buat cari kerja,positif
aplikasi nya bagus sangat ngebantu cari kerja,positif
aplikasi sangat bantu sekali cari kerja sangat mudah guna adminnya fast respon,positif
apk sangat bantu cari pekerjaancukup mudahtidak ribet efektif beri bimbing lengkap nya,positif
aplikasi cocok cari kerja,positif
aplikasi segala fitur yg mudah paham mudah siapa yg sedang cari kerja sesuai skill minat,positif
aplikasi kitalulus bantu bgt buat aku yg irt tetap cuan meski rumah aja terimakasih kitalulus depan moga lebih mantap,positif
coba kalau kerja banyak tinggal masalah cair cuannya aja keluar keluar mungkin tunggu beberapa gari,netral
aplikasi bagus bantu orang banyak cari lapang kerja,positif
sangat bantu program loker yg baik,positif
tetep aja gak digunainudah log login copot pasangsama hasil cuma layar putih doang ada,negatif
banyak sibuk promosi lowong gak jelas fitur freelance makan bnyak korban lanjur udah submit data nyata masuk form verifikasi bahkan ulang tetep gak masuk kasihan sama orang kira untung malah buntung gak rekomended sama sekali,negatif
langsung dapet panggil ketrima mungkin lebih luas jangkau terima kasih,positif
lebih mudah lebih banyak peluang,positif
sangat bagus lebih mudah dapat kerja,positif
sangat mudah guna aman,positif
sempat kendala pasang loker nyata gak sampe jam atas,positif
sangat bantu cari kerja,positif
moga aplikasi lulus baik ekonomi keluarga,positif
kurang lengkap lokernya sedia,negatif
sangat bantu ibu rumah tanggamau kerja keluar rumah kasihan anak moga jalan rezeki buat yg ken punya hasil sendiri,positif
aplikasi bagus bantu sekali cari lowong kerja,positif
coba aplikasi kitalulus sangat bantu cari lowong kerja sesuai kualifikasi fitur cari kerja komunitas sangat interaktif buat proses cari kerja lebih mudah efisien ada fitur buat cv siap tes seleksi sangat manfaat aplikasi milik tampil sederhana mudah guna seluruh kitalulus aplikasi sangat bantu cari kerja indonesia,positif
aplikasi gak gak satu lamar kerja masuk apa langgan dulu,negatif
riwayat lamar kerja panggil,netral
aplikasi bagus cs nya ramah,positif
mudah cari kerja,positif
bagus aplikasi sangat bantu cari kerja,positif
aplikasi kitalulus sangat bantu cari kerja,positif
sangat bantu cari kerja,positif
bagus sangat bantu cari kerja rumah tangga,positif
aplikasi cumann nyari info kerja lebih lowong sy masuk sama sekali gak panggil kabar pt toko yg sy lamar,netral
apk sangat bagus banget rekomen banget pokok terimakasih,positif
terima kasih lulus berkat mu milik kerja apk sangat guna parah pelajaratau mahasiswa,positif
sangat bantu sekali mudah orang yg cari kerja,positif
sangat muda guna,positif
aku kerja aplikasi mudah mudah terima kemudian hari,netral
deskripsi alam kerja minim karakter kurang kurang lengkap lebih tetap setatus kurang lengkap bikin esmosi suka suka aplikasi aje lahh kalo gitu,negatif
aplikasi sangat bantu guna selesai problem,positif
sangat bantu mula cari kerja,positif
aplikasi apa udh isi segala macem ga da yg nyangkuthoax,negatif
sangat bantu cari kerja,positif
saran jangan kerja misi aplikasi ga amanah kerja sesuai arah rejected,negatif
sangat bantu cari kerja cs nya responnya ramah cepat masalah terimakasih,positif
sangat bantu buat yg sedang cari kerja,positif
aplikasi nya bantu sekali cari kerja,positif
aplikasi kitalulus sangat bantu cari kerja dapat kerja sesuai kriteria harap aplikasi bantu lebih banyak bantu orangorang cari kerja sesuai,positif
udah log outdi update sama acak acak filter waktu,negatif
sangat bantu cari kerja,positif
aplikasi eror gak buka link share,negatif
bagus sangat bantu yg sedang cari kerja,positif
