comment,label
daftar cepat moga beneran lulus,positif
aplikasi cocok orang dapat loker sesuai butuh tipe sedang cari pandu jelas mudah paham masuk ada filter kerja sangat mudah cari sesuai ingin,positif
aplikasi mudah guna bantu lamar kerja sedang cari kerja fitur isi form data diri rumit adminnya ramah cepat beri respon,positif
aplikasi nya sangat bantu lengkap banyak materi latih nya beberapa hari lancar kendala bagai waktu kala akses paket belajaraku nya,positif
aplikasi enak banget buat nyari pekerjaantertera deskripsijam kerjasama alamat lengkap banget jadi kalo mau datangin tempat gampang aku ga cari kerja sini batas didik minimal sma cuman lulus smp,positif
aplikasi percaya mudah cari kerja yg dekat maupun yg jauhh sangat simpel mudah digunakandan adminnya sigap tanggap keluh dgn ramah tanggap sangat rekomended buat cari kerja,positif
aplikasi sangat bantu yg butuh kerja,positif
lah aplikasi kalo emang bantu nya lebih efisiensi banyak lowong kerja harap bgtt gk proses gk beri feedback pasty kalo klik malah elor pdahal jaring aman tuh pusing jadu nya php,negatif
aplikasi sangat bantu cari pekerjaankita pilih kerja apa ingin sesuai mampu layan adminyapun sangat baik fast respon bangettt sedang butuh kalau dala,positif
bintang dulu mohon depan diupdate fitur lihat lowong paling baru susah banget scroll bawah dulu buat liat lowong baru soal gak rurut,negatif
sempat kendala pasang loker nyata gak sampe jam atas,positif
baik sangat bantu pencaker,positif
kategori lokernya kurang lengkap kerjasama pasang loker sedikit terus kalo adain filter minimal semester kuliah dong min aplikasi bagus sayang kerja aku mau ngga semua,negatif
maaf aplikasi system bagus proses aplikasi aneh sekali kits pilih buah lowong lalu mau kirim lamar buah tanya jawab ganda yg buah tanya jawab sebut kandidat rasa aneh jawab presentasi karakter kandidat muncul maaf sesuai cari sangat incredible tiba whatsapp dong,positif
klik lamar muncul kuis jawab data nya ga pernah valid ngaco padahal cek google jawabanya benar apps salah mohon fitur kuis develop jadi susah lamar,positif
bintang dlu banyak job nya jadi sales perban operator sekali dapet job yg sesuai syarat byk bgt max umur apa usaha skrg parah bgt gaji bawah umr aja tp syarat gak msk akal,negatif
tampil friendly banget mudah paham digunakanbanyak pilih kerja aplikasi pernah download fiturnya cukup lengkap langkah buat cv profil pusat bantu via wa jadi lebih mudah tanya jawab developer apk sangat bantu sekali mau cari kerja segala bidang baik fulltime maupun parttime,positif
baru buat cv tau anak yg lulus sklh tinggi dapat kerja bangett terima kerja apa sangat sangat butuh uang tabung kerja sini,netral
bintang dulu aplikasi selalu error padahal tampil aplikasi bagus aku naikin bintang kalau kualitas tingkat,negatif
aplikasi mudah guna cari kerja sesuai kriteria mampu apabila kendala langsung hubung adminnya lalu whatsapp respon nya sangat bantu,positif
mantap aplikasi nya sangat anjur dapat respon baik baik admin maupun rekruter,positif
jawab tanya sblm lamar jawab yg salah kait desain grafis padahal jawab betul sistem ira salah jawab alhasil lamar kerja usaha yg lamar baik jawab tanya kualifikasi desain grafis contoh tanya kunci layer photoshop jawab sistem layer tdk dpt pindah edit yg mana jawab salah,negatif
sayang sekali sedia app store seluruh aplikasi chat sosmed basis ios jadi ga konek lulus moga cepat baharu,netral
sangat bagus sih lebih mudah buat cari kerja,positif
bintang dulu baru minggu pake aplikasi notifikasi nya feedback mulu hmmm udah min jalan aja status nyagada notifikasi recruitment nya gatau terima apa engga nya gatau lokernya udah expayet apa engga gmana min jadi,negatif
sangat bagus guna,positif
aplikasi cocok orang cari kerja sesuai butuh tipe kerja sedang cari pandu jelas mudah erti seluruh bagus saran aplikasi milik beberapa opsi login pacu satu opsi login satu opsi milik opsi,positif
izin kasih saran kalo promosi job batasin minggu aja minggu job list nya hilang terlalu banyak cari kerja nya usaha karyawan kerja nya promosi kasi orang cari kerja tunggu pasti,netral
beri b aplikasi bagus sangat bantu cuma perlu banyak kembang servernya mudah sibuk sering tdk muncl loker mohon beri profil upload cv buat perusahaanrekruter lihat lebih detail terimakasih banyak,negatif
aplikasi bantu bgt cari kerja fiturfiturnya mudah guna loker aplikasi date baru pokok bantu bgt proses lamar cukup mudah cari kerja,positif
sangat bagus cocok yg sedang cari kerja buat cv lowker aplikasi inti sangat bagus depan lebih tahan evaluasi yg kurang terima kasih,positif
situs sm app lulus eror mlu ga bsa update profil lamar gimana apply loker nya klau iklan loker nya doang pda bagus biar pda download app nya banyak bug website dn aplikasi klau siap jngn skedar launching app aja,negatif
apk nya keren bangettt bikin cv pake ai banyak usaha yg tarik buat rekrut aku padahal aku ga punya alam kerja pokok rekomended bangetttt,positif
aplikasi sangat perlu unduh fresh graduate cari kerja memang semua data aplikasi perlu verifikasi jadi meminimalisir kena lowong kerja palsu,positif
happy holy kids land buka lowong kerja sini lohayo applay kitalulus,netral
aplikasi bagus sekali,positif
aplikasi bagus fitur nya cukup bagus,positif
apa sih gak jelas sumpah orang jaring bagus liat ig lancar liat youtube lancar download aplikasi lancar lah malah sering putus koneksi padahal jaring bagusaja baik gimana gimana mau lamar,negatif
sangat bantu mudah cari kerja buat cv profesional,positif
aplikasi sangat guna cari kerja masuk usaha lewat lulus proses jga cepat,positif
bagus sangat bantu,positif
admin cepat tanggapaplikasi engga ribet engga iklan,positif
aplikasi mudah cari kerja freshgraduate fiturfitur mudah guna pilih jenis kerja tipe kerja ingin aplikasi buat cv otomatis apabila kendala langsung lapor pusat bantu informasi lebih lanjut miminnya fastrespon ramah terimakasih banyak,positif
platform baik cari kerja hindar lowong palsu tipu saran email hp rekruiter masing usaha cantum kandidat apply jelas tahap lanjut nya tiba usaha tutup lowong buat kandidat kecewa kandidat lamar cocok lowong tutup tidak nya tahap hasil tolak terima mohon koreksi masmba kata kurang baik terima kasih,positif
bagus sekali informasi nya selalu update buat cv aplikasi jadi langsung pakai,positif
